run_name,scenario,K,snr_db,ber_bcjr,ber_neural_bcjr,ber_neural_viterbi,ber_viterbi,decode_time_s_bcjr,decode_time_s_neural_bcjr,decode_time_s_neural_viterbi,decode_time_s_viterbi,fer_bcjr,fer_neural_bcjr,fer_neural_viterbi,fer_viterbi,delta_ber_nv_minus_v,delta_ber_nb_minus_b,delta_fer_nv_minus_v,delta_fer_nb_minus_b
research_p03_burst_k128,burst,128,-8.0,0.49434375,0.49290625,0.49534375,0.493328125,0.1757732729995623,0.2044298239978961,0.0556085561983054,0.0453979303998639,1.0,1.0,1.0,1.0,0.002015625000000021,-0.001437500000000036,0.0,0.0
research_p03_rayleigh_mismatch_k256,rayleigh_mismatch,256,-2.0,0.4346875,0.43328125,0.446203125,0.4409921875,0.3699403731982456,0.43475227339915,0.1429765920005738,0.0964549558013677,1.0,1.0,1.0,1.0,0.005210937499999957,-0.0014062499999999978,0.0,0.0
research_p06_amplitude_mismatch_k256_neuralfocus,amplitude_mismatch,256,-10.0,0.4991796875,0.497783203125,0.49857421875,0.4977978515625,0.440765554873069,0.4932018260013865,0.153364346251692,0.1132184818729729,1.0,1.0,1.0,1.0,0.0007763671875000155,-0.0013964843750000067,0.0,0.0
research_p04_rayleigh_mismatch_k256_dense,rayleigh_mismatch,256,-5.0,0.4867578125,0.4853759765625,0.488173828125,0.4877294921875,0.3893029715000011,0.4487553096248302,0.1437743754999974,0.1012028393740183,1.0,1.0,1.0,1.0,0.00044433593749998446,-0.00138183593750002,0.0,0.0
research_p02_rayleigh_k256,rayleigh,256,-4.0,0.4724348958333333,0.4710677083333333,0.4795052083333333,0.4786848958333333,0.4449380436673527,0.4979864743311191,0.154421244332722,0.1145137716660974,1.0,1.0,1.0,1.0,0.0008203125000000311,-0.0013671875000000333,0.0,0.0
research_p06_impulsive_mismatch_k256_neuralfocus,impulsive_mismatch,256,-8.0,0.4962646484375,0.4950439453125,0.4976416015625,0.496279296875,0.4220702274996438,0.4791402997507976,0.1519398386256943,0.1091633297520456,1.0,1.0,1.0,1.0,0.0013623046874999822,-0.001220703125,0.0,0.0
research_p04_awgn_k256_dense,awgn,256,-8.0,0.495595703125,0.494423828125,0.4948583984375,0.494892578125,0.3677268503756932,0.4321471599990764,0.1412957510002161,0.0961652678765676,1.0,1.0,1.0,1.0,-3.4179687499968914e-05,-0.001171874999999989,0.0,0.0
research_p03_burst_k128,burst,128,-6.0,0.487734375,0.486671875,0.4893125,0.49115625,0.1759581153994659,0.2042881854001898,0.0560361223999643,0.0454906360011082,1.0,1.0,1.0,1.0,-0.0018437500000000329,-0.0010625000000000218,0.0,0.0
research_p05_rayleigh_mismatch_k512,rayleigh_mismatch,512,-2.0,0.4408072916666666,0.4398177083333333,0.4477115885416666,0.44654296875,0.8505986269995144,0.9052964481659,0.2733069266640814,0.2201461640009074,1.0,1.0,1.0,1.0,0.001168619791666603,-0.0009895833333333215,0.0,0.0
research_p02_amplitude_mismatch_k128,amplitude_mismatch,128,-2.0,0.48765625,0.4866666666666667,0.4886979166666667,0.4888802083333333,0.2191077939999134,0.270411493666276,0.0745083753339713,0.0550961730006383,1.0,1.0,1.0,1.0,-0.0001822916666666119,-0.0009895833333333215,0.0,0.0
research_p03_impulsive_mismatch_k256,impulsive_mismatch,256,0.0,0.37340625,0.3725390625,0.3829296875,0.377796875,0.452799440599163,0.5069255726005649,0.1594550727995811,0.1165465715993195,1.0,1.0,1.0,1.0,0.005132812500000028,-0.0008671874999999774,0.0,0.0
